"Stockist ID",Name,"Address line 1","Address line 2",City,State/Province,"Postal code",Country,Phone,Website,Email,"Logo URL",Notes,Priority,Visible
loc_vmekp96m,"Doral Orion","9700 NW 25th St",,Doral,Florida,33172,"United States",,,,,,,Yes
loc_qzr27m8y,"Manroe Store","3198 S Dixie Highway",,Miami,Florida,33133,"United States",,,,,,,Yes
loc_8ypwne96,"Brickell Deli Market","1010 Brickell Ave Ste 103",,Miami,Florida,33131,"United States","(786) 475-6966",https://www.brickelldeli.com/,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqCddQmOTBHQfK5Zmo87-7xImMicz-SoY8HOa1a2RCU16OHO8He-zK-ToI&s=10,,,Yes
loc_qz27r9ny,"The Golden Hog","91 Harbor Dr",,"Key Biscayne",Florida,33149,"United States",3053611300,http://www.thegoldenhog.com,,https://www.producemarketguide.com/media/user_v1oz1Yz27j/112357/goldenhoggourmet2.png,,,Yes
loc_k6nykw8q,"Bilboquet Cafe","353 Peruvian Ave",,"Palm Beach",FL,33480,"United States","(561) 720-2680",https://lebilboquetmarket.com/,,https://lebilboquetpb.com/wp-content/uploads/2021/12/PB_About_M_op.gif,,,Yes
loc_rke8xmvq,"Pizza Al Fresco","14 Via Mizner",,"Palm Beach",FL,33480,"United States","(561) 832-0032",https://www.pizzaalfresco.com/,,"https://goop-img.com/cdn-cgi/image/height=1350,width=1800,fit=crop,gravity=0.5x0.5,quality=95,format=auto,onerror=redirect,metadata=copyright/wp-content/uploads/2026/01/Pizza-al-fresco.png",,,Yes
loc_vmzy5v5m,"Piccolo Gelato","66 Via Mizner",,"Palm Beach",FL,33480,"United States","(561) 814-5966",https://www.piccologelatopb.com/,,"https://static.wixstatic.com/media/0825cd_b73967edbb8d42ca8d725e97fd8cfbc1~mv2.png/v1/fill/w_548,h_358,al_c,lg_1,q_85,enc_avif,quality_auto/0825cd_b73967edbb8d42ca8d725e97fd8cfbc1~mv2.png",,,Yes
loc_956eykyy,"Al Fresco","2345 S Ocean Blvd",,"Palm Beach",FL,33480,"United States","(561) 273-4130",https://www.alfrescopb.com/,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGrzDCbQXnbwanr0Iz1ORKKPOJVllQL4rHFS3-7ZoyzIUyterPDDGdq6iVzF4c3BxKWfXnDrTD4Ur5sNYj2_ciiQtdxHSE0V5OIYTQQcY6T5aAGHe9h10Cp-vC9qARyWDGMlWYM=w243-h174-n-k-no-nu,,,Yes
loc_jyx8zpke,"Old Key Lime House","300 E Ocean Ave",,Lantana,FL,33462,"United States","(561) 582-1889",https://www.oldkeylimehouse1.com/,,https://le-cdn.hibuwebsites.com/b220439539c74e79b0ecaebcf018916f/dms3rep/multi/opt/11790284_332x153-399w.jpg,,,Yes
loc_g287pvq7,"Green's Pharmacy","151 N County Rd",,"Palm Beach",FL,33480,"United States","(561) 832-4443",https://www.greenspb.com/,,https://images.squarespace-cdn.com/content/v1/58e6210c03596ea828b08682/1492562200859-CUAYO1LUYPZWCWEFVU8B/FullSizeRender.jpg-2.jpeg?format=1500w,,,Yes
